code;name;address;latitude;longitude
1084;1084~Ірпінь, вул. Центральна;Київська область, м. Ірпінь, вул. Центральна 2;50,5174925;30,2478933
1030;1030~Київ Експоцентр;Київ. 17 пр. Броварський,;30,5939208;50,4531105
1075;1075~Київ Дружби Народів;Київ. 16-А бул. Дружби Народів,;30,5383253;50,4142195
1046;1046~Київ Воскресенська;Київ. 14-A вул. Воскресенська,;30,6017017;50,4684262
1038;1038~Київ Червоногвардійська;Київ. 1-А вул. Червоногвардійська,;30,6322941;50,4587574
1071;1071~Київ Григоренка;Київ. 18 пр. Петра Григоренка;30,6258129;50,4108399
1047;1047~Київ КомфортТаун;Київ. 4-A вул. Регенераторна,;30,6215653;50,4380493
